source,key,description,W7,W7 Question Mistral,W7 Mistral V2,
joconde,ONOM,Onomastique,What,What,What,"La description 'Onomastique' fait référence à un objet, un titre ou une référence."
joconde,DESC,Description,What,What,What,"Par défaut, la description 'Description' est associée à 'What' (objet/référence)."
joconde,REPR,Sujet représenté,What,What,What,"Par défaut, la description 'Sujet représenté' est associée à 'What' (objet/référence)."
joconde,PREP,Précisions sur le sujet représenté,What,What,What,"Par défaut, la description 'Précisions sur le sujet représenté' est associée à 'What' (objet/référence)."
joconde,DREP,Date du sujet représenté,When,When,When,La description 'Date du sujet représenté' fait référence à une date ou une période.
joconde,SREP,Source de la représentation,Who,What,What,"Par défaut, la description 'Source de la représentation' est associée à 'What' (objet/référence)."
joconde,DACQ,Date d'acquisition,When,When,When,La description 'Date d'acquisition' fait référence à une date ou une période.
joconde,APTN,Anciennes appartenances,Who,What,What,"Par défaut, la description 'Anciennes appartenances' est associée à 'What' (objet/référence)."
joconde,DEPO,Lieu de dépôt,Where,Where,Where,La description 'Lieu de dépôt' fait référence à un lieu ou une localisation.
joconde,DDPT,Date de dépôt,When,When,When,La description 'Date de dépôt' fait référence à une date ou une période.
joconde,ADPT,Ancien dépôt,Where,What,What,"Par défaut, la description 'Ancien dépôt' est associée à 'What' (objet/référence)."
joconde,DATION,Dation,When,What,What,"Par défaut, la description 'Dation' est associée à 'What' (objet/référence)."
joconde,MANQUANT,Situation particulière,What,What,What,"Par défaut, la description 'Situation particulière' est associée à 'What' (objet/référence)."
joconde,MANQUANT_COM,Précisions sur une situation particulière,What,What,What,"Par défaut, la description 'Précisions sur une situation particulière' est associée à 'What' (objet/référence)."
joconde,COMM,Commentaires,What,Where,Where,La description 'Commentaires' fait référence à un lieu ou une localisation.
joconde,EXPO,Exposition,"Where, Who",What,What,"Par défaut, la description 'Exposition' est associée à 'What' (objet/référence)."
joconde,BIBL,Bibliographie,What,What,What,"Par défaut, la description 'Bibliographie' est associée à 'What' (objet/référence)."
joconde,DMIS,Date de création,When,When,When,La description 'Date de création' fait référence à une date ou une période.
joconde,DMOIS,Date de moissonnage de la notice,When,When,When,La description 'Date de moissonnage de la notice' fait référence à une date ou une période.
joconde,DMAJ,Date de mise à jour,When,When,When,La description 'Date de mise à jour' fait référence à une date ou une période.
joconde,REDA,Rédacteur de la notice,Who,What,What,"Par défaut, la description 'Rédacteur de la notice' est associée à 'What' (objet/référence)."
joconde,PHOT,Crédits photographiques,Who,What,Who,"Par défaut, la description 'Crédits photographiques' est associée à 'What' (objet/référence)."
joconde,DATA,Artiste sous droits,Who,What,Who,"Par défaut, la description 'Artiste sous droits' est associée à 'What' (objet/référence)."
joconde,LOCA3,Année d'entrée dans le domaine public,When,When,When,La description 'Année d'entrée dans le domaine public' fait référence à une date ou une période.
joconde,IA,Droits de reproduction et de représentation,What,What,Who,"Par défaut, la description 'Droits de reproduction et de représentation' est associée à 'What' (objet/référence)."
joconde,REFPAL,Références Palissy liées,What,What,What,"La description 'Références Palissy liées' fait référence à un objet, un titre ou une référence."
joconde,REFMEM,Références Mémoire liées,What,What,What,"La description 'Références Mémoire liées' fait référence à un objet, un titre ou une référence."
joconde,REFMER,Références Mérimée liées,What,What,What,"La description 'Références Mérimée liées' fait référence à un objet, un titre ou une référence."
joconde,REGION,Région,Where,Where,Where,La description 'Région' fait référence à un lieu ou une localisation.
joconde,DPT,Département,Where,Where,Where,La description 'Département' fait référence à un lieu ou une localisation.
joconde,VILLE_M,Ville,Where,What,Where,"Par défaut, la description 'Ville' est associée à 'What' (objet/référence)."
joconde,NOMOFF,Nom du musée,Where,What,What,"La description 'Nom du musée' fait référence à un objet, un titre ou une référence."
joconde,LOCA,Localisation,Where,Where,Where,La description 'Localisation' fait référence à un lieu ou une localisation.
joconde,custom_LOCA,Lieu de conservation,Where,Where,Where,La description 'Lieu de conservation' fait référence à un lieu ou une localisation.
